Name,WKN,Last Price,Date/Time Last Price,Volume in Euro,+/- %,Coupon,Currency,YTM
"Deutschland, Bundesrepublik 1% 15/25",110238,"99,25",30.01.25 14:00,"15,38 Mio.","0,03","1,00%",Euro,"2,43%"
"Deutschland, Bundesrepublik 2,5% 23/25",BU2200,"99,99",30.01.25 14:05,716.866,"0,01","2,50%",Euro,-
"Deutschland, Bundesrepublik 3,1% 23/25",BU2203,"100,63",30.01.25 14:00,553.435,"0,03","3,10%",Euro,-
"Porsche Automobil Holding SE 4,125% 23/27",A351SW,"103,01",30.01.25 12:58,530.624,"0,38","4,13%",Euro,-
"Deutschland, Bundesrepublik 2% 24/26",BU2207,"99,61",30.01.25 14:00,448.155,"0,10","2,00%",Euro,-
Landesbank Hessen-Thüringen Girozentrale 3% 24/25,HLB59M,"99,80",30.01.25 14:00,347.826,"0,00","3,00%",Euro,"3,68%"
"Deutschland, Bundesrepublik 0,000% 16/26",110240,"96,79",30.01.25 13:39,299.968,"0,10",-,Euro,"2,17%"
"SNCF S.A. 3,125% 24/34",A3LV5U,"97,64",30.01.25 10:35,292.900,"0,94","3,13%",Euro,-
"Deutschland, Bundesrepublik 2,4% 23/28",BU2501,"100,57",30.01.25 14:31,251.325,"0,20","2,40%",Euro,-
"Deutsche Telekom International Finance B.V. 1,5% 16/28",A18Y8M,"96,90",30.01.25 11:18,242.250,"1,20","1,50%",Euro,"2,56%"
"DZ BANK AG Deutsche Zentral-Genossenschaftsbank, Frankfurt am Main 2,65% 24/26",DJ9AK1,"99,95",30.01.25 12:21,199.900,"0,05","2,65%",Euro,-
"Kreditanstalt für Wiederaufbau 2,75% 25/35",A383TE,"99,45",30.01.25 14:35,199.000,"0,50","2,75%",Euro,-
"Raiffeisen Bank International AG 4,5%",A19U8H,"97,45",30.01.25 14:47,195.000,"0,98","4,50%",Euro,-
"Deutsche Bank AG 4,625%",DL19VZ,"95,43",30.01.25 14:00,190.840,"0,16","4,63%",Euro,-
"Deutsche Pfandbriefbank AG 4,679% 17/27",A2E4Y4,"95,00",30.01.25 10:46,190.150,"1,13","4,68%",Euro,-
"Türkei, Republik 6,5% 21/33",A3KWBJ,"95,44",30.01.25 14:40,184.994,"0,25","6,50%",US-Dollar,-
"Deutschland, Bundesrepublik 0,000% 20/25",114182,"98,43",30.01.25 14:00,181.589,"0,05",-,Euro,-
"Türkei, Republik 6,625% 14/45",A1ZDS6,"86,95",30.01.25 13:58,167.276,"1,34","6,63%",US-Dollar,"8,12%"
"BMW Finance N.V. 4,125% 23/33",A3LPBM,"105,42",30.01.25 10:54,157.870,"0,50","4,13%",Euro,-
"Deutschland, Bundesrepublik 2,6% 23/33",BU2Z01,"101,28",30.01.25 14:31,146.740,"0,44","2,60%",Euro,-
"Fraport AG Frankfurt Airport Services Worldwide 4,25% 24/32",A383CB,"103,77",30.01.25 14:57,141.051,"0,85","4,25%",Euro,-
"Südzucker International Finance B.V. 4,125% 25/32",A3L7YF,"99,94",30.01.25 14:18,135.738,"0,51","4,13%",Euro,-
"Landesbank Hessen-Thüringen Girozentrale 2,75% 24/25",HEL0AS,"99,75",30.01.25 14:00,129.675,"-0,05","2,75%",Euro,"0,36%"
Deutsche Telekom AG 3% 25/32,A4DFD0,"99,48",30.01.25 12:58,124.723,"0,28","3,00%",Euro,-
"Citigroup Inc. 3,4% 16/26",A180XA,"98,71",30.01.25 13:56,118.692,"0,02","3,40%",US-Dollar,"4,54%"
